topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,energi,regjeringen,gasskraftverk,norge,kraft,industri,olje,fornybar,land,industrien
1,skolen,skole,elever,utdanning,elevene,videregående,studenter,lærere,forskning,opplæring
2,statsråden,statsministeren,stortinget,spørsmål,svaret,takker,regjeringen,saken,gjelder,spørsmålet
3,statsråden,transportplan,kr,nasjonal,veier,jernbane,jernbanen,trafikken,bergen,gjelder
4,kommunene,kommunane,kommuner,kommune,kommunar,kommunen,kommunesektoren,staten,statsråden,kommunale
5,senterpartiet,arbeiderpartiet,folkeparti,kristelig,fremskrittspartiet,sv,representanten,forslag,partiene,politikk
6,finansministeren,finanskrisen,finansnæringen,banker,pst,husbanken,statens,staten,økonomi,regjeringen
7,kr,mill,pst,regjeringen,gardermobanen,forskning,as,fremskrittspartiet,arbeiderpartiet,000
8,mat,landbruk,landbruket,økologisk,bonden,produksjon,landbrukspolitikken,matproduksjon,bønder,produsere
9,kriminalitet,fengsel,politiet,kriminelle,barn,forhold,kriminalomsorgen,kriminaliteten,soning,justisministeren
10,kultur,kulturløftet,kulturen,kulturskolen,akks,kulturministeren,kulturlivet,fremskrittspartiet,kulturpolitikken,sikre
11,barn,vold,barnevernet,foreldre,familien,barnet,unge,far,barna,kvinner
12,rehabilitering,behandling,pasienter,pasientene,fosterhjem,ventetid,rikshospitalet,ordningen,tilbud,venter
13,høyre,arbeiderpartiet,økonomiske,representanten,arbeidslivet,regjeringen,sykefraværet,helseforetakene,innstramminger,penger
14,afghanistan,militære,nato,internasjonale,soldater,sivile,sikkerhet,enduring,krig,freedom
15,muslimske,religion,bønnerop,religiøse,norge,fremskrittspartiet,muslimer,christian,tybringgjedde,holdninger
16,representanten,arbeiderpartiet,tror,høyre,stortinget,generasjonar,saken,loven,korrupsjon,representanter
17,vegne,representantene,representantforslag,stortingsrepresentantene,fremme,glede,øyvind,forslag,korsberg,kenneth
18,bidragsreglene,mattilsynet,regelverket,innkjøp,regjeringen,foreldrene,regjeringa,samfunnskunnskap,departement,samvær
19,fly,statsråden,utenriksministeren,land,hydrostatoil,norge,regjeringen,bistand,matvarepriser,mrd
20,statsråden,m2,mattilsynet,miljømerking,ulykken,påvist,takker,svanemerket,oljeselskapene,nordisk
21,helseministeren,samhandlingsreformen,ombudet,miljøvernministeren,funksjonsevne,mennesker,tjøme,nedsatt,pasienter,000
22,nato,fn,russland,eu,usa,israel,atomvåpen,europa,folkeretten,rolle
23,jagland,politikk,arbeiderpartiet,norge,regjeringen,000,regjeringens,landbrukspolitikk,sosiale,landbruket
24,alkohol,øl,vin,alkoholpolitikk,drikker,varer,dyrare,rødvin,liter,ungdom
25,stemme,kap,post,svs,anbefale,nan,foreslå,tillater,rå,nr
26,syria,politisk,verdikamp,norge,regjeringen,kongen,statsoverhode,fremskrittspartiet,politikk,land
27,psykiske,psykisk,behandling,tvang,lidelser,unge,pasienter,psykiatrien,psykiatri,helse
28,asylsøkere,asylinstituttet,asyl,asylpolitikken,mindreårige,norge,asylpolitikk,beskyttelse,opphold,avslag
29,informasjon,uføre,svenske,regjering,skattebegrensningsregelen,pst,uførereformen,opprinnelsesmerking,stortinget,gjelder
30,operasjoner,forsvaret,forsvarsministeren,delta,militære,verden,heimevernet,internasjonale,deltakelse,nato
31,konkurransetilsynet,personer,lovavdelingen,ansettelse,politiattester,anmerkes,tinglysingen,forslaget,justisdepartementet,sivilombudsmannen
32,signal,aetat,kystvakta,signaler,russiske,statsministeren,normalstraffenivået,skolene,statsråden,rundskriv
33,skattemeldingen,norge,bedrifter,skatt,arbeidskraft,arbeidsliv,lavere,skattelettelsene,overskudd,skattelettelser
34,kommunene,senterpartiet,lokalpolitikerne,distriktspolitikk,distriktet,iallfall,tillit,representanten,innstillingen,arbeidarpartiet
35,interpellanten,barn,samlivsbrudd,barna,vold,foreldrene,avfall,statsråden,barns,styrke
36,private,vegvedlikehaldet,høgre,privatpraktiserende,institusjonene,public,høyre,offentlige,tjenester,institusjonar
37,barnevernet,biologiske,barn,akuttvedtak,barns,barnevern,debatten,barna,prinsipp,representanten
38,representanten,innkjøp,aetat,reglane,holmelid,skole,regelverket,brukarane,kofa,elektronisk
39,fremskrittspartiet,golfbaner,fremskrittspartiets,eøsavtalen,høyre,skatteparadisene,barmarkskjøring,regjeringen,mexico,fullmakter
40,justisministeren,mellombels,politiets,væpninga,eosutvalet,politiet,trusselen,pst,politi,væpning
41,land,arbeid,norge,uføre,utdanning,landsdelen,uføretrygd,nordlendingene,tjukknorge,arbeidsplassen
42,israel,palestinsk,palestinske,hamas,palestinerne,stat,israelske,israels,høybråten,side
43,presidenten,president,spanskekongen,fellesskolen,misforståelse,minutter,vedtar,lov,debattopplegg,hovedtalspersoner
44,voldsoffererstatning,overgriper,permitteringsregelverket,lønnsplikten,byggvedlikehold,oljeinvesteringene,erstatning,oljepengebruken,sykehjem,finansiering
45,irak,burma,irakiske,krig,fn,mali,fredsbevarende,saddam,demokrati,land
46,barn,barnevernet,fosterhjem,full,barnehagedekning,barnehagene,rekruttere,barnehagesektoren,kommunene,tilsynsfører
47,renten,bank,renta,lav,rente,rentenivået,pengepolitikken,milliarder,økonomi,norges
48,ous,lærarar,helsevesenet,fagmiljøer,skadelig,barn,trur,lærar,ekspertene,skoen
49,nrk,monopol,dab,radioen,kulturministeren,tv,stortinget,konkurranse,norge,programmer
50,film,filmen,filmer,kino,1852,kautokeino,reklame,avgiften,statsråden,gaup
51,organisasjoner,organisasjonene,fylkesnemndene,riksrevisjonen,kofa,saksbehandlingstiden,arbeidet,innkjøp,sakene,departementet
52,landene,land,frihandel,fattigste,utviklingsministeren,india,asia,argentina,verden,sri
53,eosutvalget,kontroll,pengane,skatteetatens,adgang,budsjettstøtte,kontrollsaken,saksordføraren,kommunane,tilsyn
