Topic ID;Topic words
0;statsraden,offentlig,diskriminering,sektor,apne,ansatte,representanten,offentlige,rapporten,spørre,arbeidslivet,rettighetene,administrasjon,lønn,privat,typen,svar,spørsmalet,takker,behov
1;co,gasskraftverk,rensing,karstø,tonn,mongstad,statsraden,svaret,møre,romsdal,kyotoavtalen,teknologi,avgiften,takker,handtering,forhold,pst,arbeidet,spørsmalet,sterkt
2;statsraden,gjelder,behandling,sykehus,pasienter,tror,offentlige,helse,helseministeren,pasientene,helseforetakene,sykehusene,saken,representanten,selvfølgelig,spørsmal,vet,mate,private,landet
3;stortinget,norge,gjelder,statsraden,riktig,regjeringen,innstillingen,spørsmal,sagt,irak,utviklingen,sikre,høyre,vanskelig,regelverket,øker,regelverk,apenbart,situasjonen,tigging
4;statsraden,israel,svaret,spørsmal,saken,spørsmalet,representanten,side,takker,palestinsk,palestinske,forhold,fly,bla,stille,hamas,handler,stat,krav,gjelder
5;statsraden,stortinget,skulen,lærarar,spørsmal,skule,vet,opplæring,spørsmalet,statsrad,tiltak,soria,elevar,regelverket,norge,kontakt,tidleg,nav,tilpassa,motsegn
6;norge,statsraden,gjelder,saken,bla,fall,spørsmal,prøver,lanekassen,riktig,omrader,gir,carl,arbeidsvilkar,kunnskap,regjeringen,eu,syns,politikk,pst
7;fn,venstre,toget,representanten,regjering,statsraden,fns,klarer,mrd,folkeparti,høyre,spørsmal,kjøpe,gode,kr,kultur,tog,bla,rammen,fjor
8;spørsmalet,representanten,spørsmal,statsraden,gjelder,gode,undervisning,rad,flyktninger,høyere,bla,nordisk,interessant,tipping,sortevik,tror,forbindelse,studentene,innvandrere,føler
9;irak,usa,folkeretten,kulturelle,skolesekken,gjelder,forhold,syns,pst,komiteen,norge,regjeringa,sv,sikre,angrep,fn,statsraden,tryggingsradet,kunst,glad
